RecordedDate,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q1_13,Q1_14,Q1_15,Q1_16,Q1_17,Q1_18,Q1_19,Q1_20,Q1_21,Q1_22,Q1_23,Q1_24,Q1_25,Q1_26,Q1_27,Q1_28,Q1_29,Q1_30,Q1_31,Q1_32,Q1_33,Q1_34,Q1_35,Q1_36,Q1_37,Q1_38,Q1_39,Q1_40,Q1_41,Q1_42,Q1_43,Q1_44,Q1_45
Recorded Date,"...include a comparison or metaphor","...involve planning or organizing","...include a planning or decision-making process","...describe a specific texture or sensation (e.g. ""the velvet was soft"")","...include technical or specialized terminology","...describe a mode of communication","...contain numbers (""There were five apples."")","...include a description about dialogue (""Betty said..."")","...include a direct speech quotation","...mention time","...are reflective, involving self-analysis or introspection","...contain a measurement","...express a connection to a community","...contain a cultural reference","...describe a journey","...mention a specific location","...describe a physical sensation","...describe a personal or social interaction","...discuss personal or social values","...contain a proper noun","...are related to a specific industry or profession","...describe a specific sensation or feeling","...include a personal anecdote or story","...express personal values or beliefs","...mention a specific object or item","...contain a negation","...describe a personal reflection or thought","...describe a relationship between people","...is abstract rather than concrete","...involve spatial reasoning","...express an opinion about an event or character","...describe a physical action","...describe a visual experience or scene","...describe a physical environment or setting","...describe a sensory experience","...contain words with strong visual imagery?","...describe an interpersonal misunderstanding or dispute?","...involve the description of an emotional response?","...use irony or sarcasm?","...cointain first-person pronoun?","...are part of a legal document or text?","...describe a scientific experiment or discovery?","...discuss a breakthrough in medical research?","...involve a coding or programming concept?","...describe an educational lesson or class?"
2025-05-28 10:48:36,Moderately important,Slightly important,Slightly important,Very important,Not at all important,Slightly important,Moderately important,Slightly important,Slightly important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Not at all important,Moderately important,Not at all important,Not at all important,Very important,Slightly important,Not at all important,Slightly important,Moderately important,Slightly important,Not at all important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly important,Slightly important,Slightly important,Slightly important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important
2025-05-29 02:24:37,Moderately important,Very important,Very important,Moderately important,Not at all important,Slightly important,Moderately important,Moderately important,Slightly important,Very important,Very important,Not at all important,Slightly important,Moderately important,Very important,Very important,Slightly important,Moderately important,Moderately important,Slightly important,Not at all important,Moderately important,Very important,Very important,Slightly important,Not at all important,Moderately important,Very important,Slightly important,Very important,Moderately important,Moderately important,Very important,Moderately important,Slightly important,Extremely important,Moderately important,Very important,Very important,Slightly important,Not at all important,Slightly important,Not at all important,Not at all important,Slightly important
2025-05-29 10:50:02,Very important,Slightly important,Slightly important,Very important,Moderately important,Extremely important,Moderately important,Slightly important,Not at all important,Slightly important,Moderately important,Slightly important,Extremely important,Moderately important,Not at all important,Very important,Very important,Extremely important,Very important,Slightly important,Slightly important,Very important,Moderately important,Moderately important,Slightly important,Not at all important,Slightly important,Slightly important,Very important,Extremely important,Slightly important,Extremely important,Extremely important,Very important,Very important,Extremely important,Slightly important,Moderately important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important
2025-05-30 08:16:43,Very important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Moderately important,Moderately important,Slightly important,Extremely important,Moderately important,Moderately important,Moderately important,Extremely important,Moderately important,Very important,Very important,Moderately important,Extremely important,Moderately important,Moderately important,Moderately important,Extremely important,Moderately important,Slightly important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Slightly important,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Slightly important,Not at all important,Slightly important
2025-06-05 00:03:25,Moderately important,Moderately important,Moderately important,Extremely important,Slightly important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Very important,Very important,Not at all important,Moderately important,Extremely important,Very important,Very important,Very important,Moderately important,Slightly important,Very important,Moderately important,Very important,Moderately important,Slightly important,Moderately important,Very important,Moderately important,Extremely important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Moderately important,Very important,Moderately important,Very important,Not at all important,Not at all important,Slightly important,Moderately important,Not at all important
2025-06-10 12:59:09,Slightly important,Very important,Extremely important,Very important,Slightly important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Slightly important,Slightly important,Very important,Extremely important,Very important,Very important,Very important,Not at all important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Very important,Extremely important,Very important,Slightly important,Very important,Very important,Extremely important,Extremely important,Very important,Slightly important,Extremely important,Slightly important,Extremely important,Not at all important,Not at all important,Not at all important,Not at all important,Slightly important
2025-06-11 12:28:13,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Slightly important,Moderately important,Moderately important,Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important
2025-06-12 02:01:36,Moderately important,Slightly important,Slightly important,Slightly important,Moderately important,Slightly important,Moderately important,Slightly important,Not at all important,Very important,Very important,Not at all important,Not at all important,Slightly important,Slightly important,Slightly important,Very important,Moderately important,Moderately important,Moderately important,Not at all important,Very important,Very important,Slightly important,Moderately important,Not at all important,Moderately important,Moderately important,Extremely important,Slightly important,Slightly important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly important,Moderately important,Slightly important,Not at all important,Not at all important,Moderately important,Not at all important
2025-06-12 23:23:13,Very important,Moderately important,Slightly important,Moderately important,Slightly important,Very important,Slightly important,Very important,Moderately important,Moderately important,Moderately important,Slightly important,Extremely important,Very important,Extremely important,Moderately important,Moderately important,Extremely important,Moderately important,Moderately important,Slightly important,Very important,Extremely important,Very important,Moderately important,Slightly important,Extremely important,Extremely important,Slightly important,Moderately important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Moderately important,Moderately important,Not at all important,Not at all important,Not at all important,Not at all important,Slightly important
2025-06-17 14:17:23,Slightly important,Very important,Very important,Slightly important,Moderately important,Moderately important,Moderately important,Not at all important,Not at all important,Slightly important,Moderately important,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Slightly important,Very important,Slightly important,Not at all important,Extremely important,Slightly important,Moderately important,Slightly important,Moderately important,Slightly important,Slightly important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,Very important,Slightly important,Moderately important,Very important,Very important,Very important,Moderately important,Slightly important,Slightly important,Moderately important,Slightly important,Slightly important,Slightly important
2025-06-18 10:55:15,Slightly important,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Very important,Moderately important,Slightly important,Moderately important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Extremely important,Very important,Moderately important,Very important,Moderately important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important
